siec	geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
O4652XR5210B	BG	540.174	442.438	505.493	520.206	492.882	504.957	477.508	472.814	459.238	501.343	524.227	519.101
O4652XR5210B	CY	393.608	369.272	360.808	365.040	374.563	371.281	361.447	356.235	301.006	323.109	328.145	343.446
O4652XR5210B	CZ	1673.970	1573.909	1557.936	1570.454	1617.440	1600.258	1601.411	1601.624	1455.951	1514.976	1582.920	1679.945
O4652XR5210B	DE	17617.713	17590.673	17682.194	16926.336	16938.454	17186.881	16413.325	16585.002	14914.686	14795.522	15346.908	15249.961
O4652XR5210B	DK	1381.958	1335.927	1321.281	1389.281	1377.773	1312.181	1316.362	1317.574	1175.529	1206.176	1198.619	1212.055
O4652XR5210B	EE	256.425	240.661	241.712	240.661	254.323	266.934	272.189	273.240	214.388	199.675	211.235	209.554
O4652XR5210B	EL	3035.063	2777.587	2643.069	2573.708	2536.926	2450.772	2402.904	2345.589	1880.619	2010.866	2143.308	2239.600
O4652XR5210B	ES	4713.779	4603.738	4534.962	4561.414	4767.741	4871.434	5075.645	5407.884	4281.021	5276.535	5831.182	6093.986
O4652XR5210B	EU27_2020	67951.608	65847.380	65515.002	64511.546	64746.958	65152.166	65207.237	66640.385	57341.357	62695.140	66586.494	69218.382
O4652XR5210B	FI	1385.473	1420.130	1367.264	1361.044	1354.825	1301.959	1283.300	1255.312	1165.128	1177.568	1089.457	1087.384
O4652XR5210B	FR	7322.663	7084.036	7050.302	7153.339	7330.573	7526.588	7772.967	8284.156	7138.176	8570.218	9388.200	9979.123
O4652XR5210B	HR	615.188	601.353	554.522	553.457	556.651	534.386	519.205	495.205	411.202	460.578	494.273	554.553
O4652XR5210B	HU	1233.782	1167.574	1243.241	1283.176	1306.296	1337.824	1396.675	1507.022	1308.398	1388.268	1472.342	1438.712
O4652XR5210B	IE	1282.248	1186.399	1178.944	1020.260	1003.221	904.298	824.245	780.926	578.428	612.745	697.835	743.480
O4652XR5210B	IT	8769.944	8398.968	8494.602	8191.937	7649.661	7432.637	7639.952	7711.665	6078.996	7364.876	8243.143	8556.740
