unit	geo	name	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 	2023-Q2 	2023-Q3 	2023-Q4 	2024-Q1 
T_HAB	LU	Luxembourg	5.458 s	4.798 s	4.49 s	5.319 s	5.265 s	4.476 s	3.658 s	4.66 s	4.85 s	4.296 s	3.82 s	4.451 s	4.701 s	3.92 s	3.537 s	4.519 s	4.499 s	3.914 s	3.582 s	4.545 s	5.231 s	4.289 s	3.97 s	4.494 s	4.743 s	4.225 s	3.862 s	4.594 s	4.6 s	4.161 s	3.905 s	4.405 s	4.508 s	3.841 s	3.765 s	4.684 s	4.15 s	4.115 s	4.301 s	4.652 s	4.176 s	3.905 s	3.608 s	3.985 s	4.027 s	3.849 s	3.529 s	4.005 s	3.883 s	3.468 s	3.265 s	3.655 s	3.503 s	3.272 s	3.075 s	3.623 s	3.423 s
T_HAB	LV	Latvia	1.782 s	1.412 s	1.556 s	1.724 s	1.65 s	1.395 s	1.465 s	1.629 s	1.612 s	1.338 s	1.549 s	1.569 s	1.577 s	1.321 s	1.543 s	1.607 s	1.47 s	1.504 s	1.544 s	1.651 s	1.462 s	1.486 s	1.669 s	1.706 s	1.521 s	1.511 s	1.585 s	1.734 s	1.63 s	1.593 s	1.639 s	1.686 s	1.706 s	1.617 s	1.747 s	1.799 s	1.576 s	1.675 s	1.914 s	1.708 s	1.483 s	1.499 s	1.583 s	1.581 s	1.562 s	1.503 s	1.664 s	1.633 s	1.456 s	1.45 s	1.569 s	1.662 s	1.516 s	1.493 s	1.615 s	1.617 s	1.62 s
T_HAB	MT	Malta	1.874 s	1.847 s	2.092 s	1.839 s	1.855 s	1.809 s	2.137 s	1.844 s	1.979 s	1.908 s	2.267 s	1.842 s	1.805 s	1.705 s	1.938 s	1.702 s	1.73 s	1.704 s	1.938 s	1.686 s	1.716 s	1.247 s	1.273 s	1.121 s	1.134 s	1.063 s	1.261 s	1.101 s	1.143 s	1.163 s	1.369 s	1.17 s	1.186 s	1.158 s	1.308 s	1.167 s	1.249 s	1.254 s	1.285 s	1.137 s	1.235 s	0.971 s	1.161 s	0.948 s	1.005 s	1.076 s	1.182 s	1.035 s	1.075 s	1.051 s	1.209 s	1.04 s	1.039 s	1.099 s	1.283 s	1.116 s	1.107 s
T_HAB	NL	Netherlands	3.871 s	3.319 s	3.047 s	3.771 s	3.661 s	3.084 s	2.9 s	3.466 s	3.569 s	3.054 s	2.856 s	3.392 s	3.544 s	3.088 s	2.837 s	3.389 s	3.274 s	2.989 s	2.826 s	3.359 s	3.478 s	3.081 s	2.917 s	3.334 s	3.424 s	3.037 s	2.844 s	3.435 s	3.435 s	3.009 s	2.754 s	3.275 s	3.387 s	2.881 s	2.685 s	3.126 s	3.369 	2.655 	2.469 	3.293 	3.059 	2.197 	2.367 	2.823 	3 	2.44 	2.283 	2.831 	2.746 	2.326 	2.22 	2.557 	2.646 	2.254 	2.091 	2.502 	2.574 
T_HAB	PL	Poland	2.916 s	2.459 s	2.417 s	3.015 s	2.92 s	2.479 s	2.411 s	2.947 s	2.897 s	2.435 s	2.356 s	2.861 s	2.85 s	2.413 s	2.391 s	2.792 s	2.684 s	2.372 s	2.325 s	2.775 s	2.687 s	2.381 s	2.368 s	2.798 s	2.757 s	2.439 s	2.418 s	2.995 s	2.984 s	2.587 s	2.545 s	2.971 s	3.028 s	2.513 s	2.572 s	2.979 s	2.81 s	2.503 s	2.457 s	2.79 s	2.712 s	2.261 s	2.362 s	2.817 s	2.841 s	2.548 s	2.61 s	3.026 s	2.874 s	2.532 s	2.462 s	2.856 s	2.675 s	2.305 s	2.29 s	2.801 s	2.626 s
T_HAB	PT	Portugal	1.651 s	1.647 s	1.784 s	1.766 s	1.695 s	1.631 s	1.708 s	1.689 s	1.704 s	1.581 s	1.728 s	1.58 s	1.627 s	1.572 s	1.601 s	1.633 s	1.538 s	1.57 s	1.672 s	1.675 s	1.704 s	1.686 s	1.754 s	1.726 s	1.608 s	1.588 s	1.751 s	1.742 s	1.795 s	1.776 s	1.85 s	1.791 s	1.731 s	1.67 s	1.804 s	1.707 s	1.635 s	1.652 s	1.667 s	1.644 s	1.582 s	1.225 s	1.501 s	1.468 s	1.361 s	1.402 s	1.434 s	1.491 s	1.488 s	1.466 s	1.501 s	1.449 s	1.493 s	1.419 s	1.433 s	1.412 s	1.398 s
T_HAB	RO	Romania	1.535 s	1.435 s	1.525 s	1.812 s	1.577 s	1.533 s	1.609 s	1.926 s	1.62 s	1.48 s	1.632 s	1.839 s	1.437 s	1.314 s	1.499 s	1.763 s	1.479 s	1.341 s	1.479 s	1.716 s	1.415 s	1.323 s	1.552 s	1.709 s	1.41 s	1.335 s	1.518 s	1.704 s	1.498 s	1.394 s	1.553 s	1.729 s	1.536 s	1.351 s	1.556 s	1.81 s	1.485 s	1.36 s	1.537 s	1.724 s	1.476 s	1.203 s	1.507 s	1.732 s	1.487 s	1.405 s	1.536 s	1.728 s	1.451 s	1.34 s	1.447 s	1.622 s	1.356 s	1.232 s	1.424 s	1.604 s	1.365 s
T_HAB	SE	Sweden	2.033 	1.738 	1.615 	1.956 	1.875 	1.642 	1.537 	1.66 	1.7 	1.515 	1.448 	1.632 	1.665 	1.493 	1.424 	1.507 	1.514 	1.449 	1.405 	1.507 	1.556 	1.435 	1.377 	1.498 	1.537 	1.425 	1.398 	1.518 	1.448 	1.39 	1.363 	1.448 	1.424 	1.353 	1.319 	1.404 	1.386 	1.311 	1.3 	1.32 	1.233 	1.131 	1.15 	1.211 	1.214 	1.226 	1.189 	1.268 	1.188 	1.178 	1.124 	1.216 	1.165 	1.146 	1.095 	1.152 s	1.125 s
T_HAB	SI	Slovenia	2.507 s	2.105 s	2.187 s	2.53 s	2.492 s	2.131 s	2.093 s	2.337 s	2.363 s	2.032 s	2.022 s	2.197 s	2.206 s	1.84 s	2.092 s	2.27 s	2.055 s	1.883 s	1.804 s	1.872 s	2.017 s	1.894 s	1.976 s	1.996 s	2.033 s	1.893 s	2.038 s	2.278 s	2.249 s	1.981 s	2.073 s	2.141 s	2.268 s	1.845 s	2.107 s	2.239 s	2.128 s	1.974 s	2.009 s	2.148 s	1.954 s	1.664 s	1.995 s	2.16 s	2.045 s	1.815 s	1.909 s	2.162 s	2.162 s	1.984 s	1.909 s	1.857 s	1.96 s	1.831 s	1.81 s	1.951 s	1.963 s
T_HAB	SK	Slovakia	2.182 s	1.976 s	1.993 s	2.295 s	2.203 s	2.015 s	1.959 s	2.148 s	2.083 s	1.843 s	1.837 s	2.104 s	2.004 s	1.868 s	1.888 s	2.038 s	1.846 s	1.826 s	1.796 s	1.955 s	1.901 s	1.888 s	1.822 s	1.943 s	1.865 s	1.883 s	1.858 s	2.02 s	1.943 s	1.91 s	1.898 s	2.067 s	1.989 s	1.896 s	1.899 s	1.999 s	1.951 s	1.827 s	1.72 s	1.848 s	1.791 s	1.484 s	1.652 s	1.896 s	1.907 s	1.842 s	1.787 s	2.055 s	1.89 s	1.684 s	1.571 s	1.773 s	1.889 s	1.711 s	1.629 s	1.872 s	1.802 s
